StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,consent_agree,consent_age,Q91,1A_1,1B_1,2A_1,2B_1,3A_1,3B_1,4A_1,4B_1,5A_1,5B_1,6A_1,6B_1,7A_1,7B_1,8A_1,8B_1,9A_1,9B_1,10A_1,10B_1,11A_1,11B_1,12A_1,12B_1,13A_1,13B_1,14A_1,14B_1,15A_1,15B_1,16A_1,16B_1,17A_1,17B_1,18A_1,18B_1,slider_attn_check_1,slider_attn_check_2_1,speed,manage,age_og,gender_og,income_og,education_og,atten_check2,race_og,hispanic_og,state_og,urbancity,partyid_og,registered,vote_2020,pew_bornagain,pres_approve_nonbin,FL_5_DO,FL_10_DO,FL_11_DO,FL_12_DO,FL_13_DO,FL_14_DO,FL_15_DO,FL_16_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,I have read the above and agree to participate in this survey.,I am age 18 or over.,Please enter your Connect ID,"What is the likelihood that in the next decade or two advanced AI will lead to monopolies or concentration of power in a small number of companies? For example, a small number of companies might become so valuable from advanced AI that they have extreme influence on markets, the economy, or the government.",How impactful do you think that monopolies or the centralization of economic power from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI causes a major disruption of the economy, destabilizing labor markets? For example, advanced AI might make many skills obsolete, forcing some people to learn new skills to keep their jobs, and resulting in significant job losses for others.",How impactful do you think the disruption of the economy by advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI leads to a global financial meltdown? For example, this might mean that automated decision making systems, such as in algorithmic trading systems with too much power and insufficient oversight, could result in a stock market crash.",How impactful do you think financial problems caused by advanced AI might be for society?,"What is the likelihood that in the next decade or two biases embedded in advanced AI tools might lead to significant increases in discrimination and social or income inequality? For example, biases in advanced AI might increase disparities in hiring and wage determination, credit scoring, mortgage and rental application decisions, assessment of job performance, criminal sentencing and policing, school admissions decisions and personalized learning systems, or decisions in healthcare diagnosis and treatment.",How impactful do you think increases in social or income inequality from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI technologies cause a decrease in personal privacy protections? For example, advanced AI might make surveillance more common and more acceptable for preventing crime, or, it might increase the demand for value of training data for AI models tremendously, resulting in a loosening of privacy protections.",How impactful do you think risks to privacy protections from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI results in extreme income inequality? For example, this might happen if advanced AI driven productivity gains generate tremendous new wealth, overwhelmingly benefiting those who are already very wealthy, while those with few or no investments see little or no benefits.",How impactful do you think severe income inequality from advanced AI might be for society?,What is the likelihood that in the next decade or two terrorists use advanced AI to create a deadly biological weapon or chemical weapon that is used at least once against a large number of civilians in a major terrorist attack?,How impactful do you think terrorist attacks with deadly biological or chemical weapons developed with advanced AI might be for society?,"What is the likelihood that in the next decade or two terrorists use advanced AI to create autonomous AI weapons for use in attacking civilians? For example, terrorists might use advanced AI to evade authorities and create cyberweapons and autonomous drones that could carry out attacks on critical infrastructure, such as hydroelectric dams or nuclear power plants, or on large civilian targets like airports or sporting arenas.",How impactful do you think terrorist attacks from advanced AI weapons might be for society?,"What is the likelihood in the next decade or two there are major cyber attacks on civilian targets enabled by advanced AI? For example, advanced AI might infiltrate and reprogram computer systems, like power grids or military computer systems, to execute destructive plans.",How impactful do you think cyber attacks from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI technology leads to society’s collective inability to determine what information is true or reliable? For example, this might happen if people over-rely on AI systems and blindly trust their outputs even if the output is wrong (e.g., fake news, generative AI like ChatGPT hallucinating or making things up).",How impactful do you think a gradual distortion of knowledge might be for society?,"What is the likelihood that in the next decade or two an advanced AI system relied upon for public safety, such as disease detection, self-driving vehicles, or disaster warning systems, malfunctions and results in a significant loss of life?",How impactful do you think the failure of safety critical advanced AI systems might be for society?,What is the likelihood that in the next decade or two an advanced AI arms race between the United States and China leads to a direct military conflict between the two countries’ armed forces?,How impactful do you think an AI arms race inspired conflict between the US and China might be for society?,"What is the likelihood that in the next decade or two one or more countries develop a strategic advantage in AI giving rise to a global power imbalance that favors authoritarianism? For example, this might happen if one or more authoritarian governments create radically advanced AI before other countries or disproportionately to other countries, giving them some sort of strategic advantage and allowing them to enforce their values amongst the rest of the world.",How impactful do you think losing an AI race might be for society?,"What is the likelihood that in the next decade or two an adversary uses advanced AI to engage in information warfare to destabilize an adversary? For example, this might involve a sustained effort to provide very persuasive and convincing misinformation, like deep fakes, generated by advanced AI with the longer-term goal of destabilizing society, or, a similar use of persuasive advanced AI technology in order to influence the outcome of one or more federal elections.",How impactful do you think a successful information warfare campaign by an adversary might be for affected members of society?,"What is the likelihood that in the next decade or two the computational resources required to support training, operation, and data storage for AI models consume enough energy that the resulting carbon emissions destabilize the global climate above and beyond the current median projections?",How impactful do you think this risk that increased climate volatility might be for society?,"What is the likelihood that in the next decade or two radically advanced AI overtakes existing global governments and implements a form of government that is not acceptable to the majority of humanity? For example, a society run by advanced AI might entail constant surveillance and no privacy, extreme poverty, a prohibition of religion or other critical liberties, or other restrictions causing widespread suffering or injustice.",How impactful do you think an advanced AI dystopia might be for society?,"What is the likelihood that in the next decade or two advanced AI will cause the collapse of human civilization resulting in global anarchy? For example, this might happen if AI automates systems like those for food production and distribution and we eventually lose control of our food supply resulting in mass famine; in this or other similar scenarios AI could lead to the deaths of so many people that governments cannot be sustained.",How impactful do you think civilization collapse might be for society?,What is the likelihood that in the next decade or two AI leads to human extinction?,How impactful do you think human extinction might be for society?,In this question we would like you to move the slider to the number sixty. This helps us to confirm that people taking the survey are reading the questions.,For this slider please move the slider to around where the word minor is on the scale.,"In your opinion, what should we do about risks from advanced AI?","In your opinion, who should manage risks from advanced AI?",What is your current age in years?,What is your gender?,What is your family income per year? (please provide pre-tax income),What is the highest level of education you have completed?,Which of the following would you be most surprised to find in the sea or ocean?,Which of the following best matches your racial identity?,"Do you consider yourself to be of Hispanic, Latino, or Spanish origin?",In which US State or District do you currently live?,How would you describe the place where you live?,"Generally speaking, do you think of yourself as a ...?",Are you registered to vote in US elections?,What was your vote in the 2020 Presidential election?,"Would you describe yourself as a ""born-again"" or evangelical Christian, or not?",Do you approve or disapprove of the way Joe Biden is handling his job as President?,FL_5 - Block Randomizer - Display Order,FL_10 - Block Randomizer - Display Order,FL_11 - Block Randomizer - Display Order,FL_12 - Block Randomizer - Display Order,FL_13 - Block Randomizer - Display Order,FL_14 - Block Randomizer - Display Order,FL_15 - Block Randomizer - Display Order,FL_16 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID59""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID100""}","{""ImportId"":""QID41""}","{""ImportId"":""QID55""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID102""}","{""ImportId"":""QID101""}","{""ImportId"":""QID114""}","{""ImportId"":""QID111""}","{""ImportId"":""QID104""}","{""ImportId"":""FL_5_DO""}","{""ImportId"":""FL_10_DO""}","{""ImportId"":""FL_11_DO""}","{""ImportId"":""FL_12_DO""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""FL_15_DO""}","{""ImportId"":""FL_16_DO""}"
2023-10-27 17:15:41,2023-10-27 17:24:46,IP Address,70.92.133.219,100,545,True,2023-10-27 17:24:47,R_1OuBxWlMUxhSqUV,,,,,42.951,-87.9437,anonymous,EN,1,,0,0,,Yes,Yes,1DF28D04D4BC4AD0A9B59DD0E935393A,20,67,40,72,1,5,45,81,75,87,10,49,5,72,100,73,95,72,90,85,30,61,10,72,50,72,100,100,0,0,0,100,1,100,0,100,60,26,We should slow down the rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",38,Man,"Between $20,000 and $49,999","Some college, no degree",Tiger,Asian or Asian American,"No, I am NOT of Hispanic, Latino, or Spanish origin",Wisconsin,City,Republican,"Yes, I am registered to vote",Donald Trump,No,Strongly disapprove,FL_10|FL_11|FL_14|FL_15|FL_16|FL_13|FL_12,1- Monopolies&CentralizationofPower|3-FinancialMeltdown|2-EconomicInstability,5-Privacy|4-Bias&Discrimination|6-ExtremeIncomeInequality,9-CyberAttacks|8-TerroristAIWeaponsAttack|7-TerroristWMDAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,14-InformationWarfare|13-GlobalPowerShift|12-AIArmsRace,15-EnergyConsumption,16-Dystopia|18-Extinction|17-CivilizationalCollapse
2023-10-27 17:16:06,2023-10-27 17:30:02,IP Address,73.202.180.239,100,836,True,2023-10-27 17:30:03,R_2XbbQfC5Dl3SyDt,,,,,37.9164,-122.0668,anonymous,EN,1,,0,0,,Yes,Yes,2548BE26DE634DA9B12AFF51A1D57D88,4,6,3,28,5,5,4,28,4,7,6,30,5,72,4,48,1,6,12,73,4,28,10,27,10,27,10,32,50,50,5,71,4,72,2,94,60,28,We should maintain the current rate of AI progress.,The companies developing AI technologies should manage the majority of risks.,71,Man,"Between $50,000 and $79,999",Completed master’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",California,Suburb,Democrat,"Yes, I am registered to vote",Joe Biden,No,Strongly approve,FL_15|FL_14|FL_16|FL_13|FL_10|FL_12|FL_11,2-EconomicInstability|1- Monopolies&CentralizationofPower|3-FinancialMeltdown,4-Bias&Discrimination|5-Privacy|6-ExtremeIncomeInequality,7-TerroristWMDAttack|9-CyberAttacks|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,12-AIArmsRace|14-InformationWarfare|13-GlobalPowerShift,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
2023-10-27 17:16:13,2023-10-27 17:30:34,IP Address,172.116.68.39,100,860,True,2023-10-27 17:30:35,R_vVSoOY6Z1lFcPqp,,,,,34.0718,-117.6973,anonymous,EN,1,,0,0,,Yes,Yes,D6056D878D9E410C8D1EB4520E3F8728,80,72,25,26,10,26,75,73,80,49,39,51,50,100,35,71,0,27,75,72,0,0,80,84,20,71,100,100,0,13,0,73,0,100,0,100,60,26,We should maintain the current rate of AI progress.,National governments should manage the majority of risks.,62,Woman,"Between $50,000 and $79,999",Completed associate’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",California,Suburb,Republican,"Yes, I am registered to vote",Donald Trump,No,Strongly disapprove,FL_16|FL_12|FL_10|FL_13|FL_14|FL_11|FL_15,1- Monopolies&CentralizationofPower|3-FinancialMeltdown|2-EconomicInstability,5-Privacy|4-Bias&Discrimination|6-ExtremeIncomeInequality,8-TerroristAIWeaponsAttack|7-TerroristWMDAttack|9-CyberAttacks,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|12-AIArmsRace|14-InformationWarfare,15-EnergyConsumption,18-Extinction|16-Dystopia|17-CivilizationalCollapse
2023-10-27 17:15:57,2023-10-27 17:37:24,IP Address,23.30.78.9,100,1287,True,2023-10-27 17:37:25,R_2AHHd9v1XbMkMZD,,,,,29.7215,-95.3159,anonymous,EN,0.800000011920929,,0,20,,Yes,Yes,F11B2B44FAF1465E9FDED2FED435F786,75,72,93,97,39,50,39,73,93,48,78,97,78,100,68,99,88,100,89,74,84,49,71,95,86,49,69,98,58,72,20,74,61,100,81,73,60,26,We should maintain the current rate of AI progress.,The companies developing AI technologies should manage the majority of risks.,43,Man,"Between $100,000 and $149,999",Completed doctorate degree,Tiger,Black or African American,"No, I am NOT of Hispanic, Latino, or Spanish origin",Texas,City,Democrat,"Yes, I am registered to vote",Joe Biden,Yes,Strongly approve,FL_14|FL_16|FL_11|FL_12|FL_15|FL_10|FL_13,2-EconomicInstability|1- Monopolies&CentralizationofPower|3-FinancialMeltdown,6-ExtremeIncomeInequality|4-Bias&Discrimination|5-Privacy,9-CyberAttacks|8-TerroristAIWeaponsAttack|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,14-InformationWarfare|13-GlobalPowerShift|12-AIArmsRace,15-EnergyConsumption,17-CivilizationalCollapse|18-Extinction|16-Dystopia
2023-10-27 17:15:41,2023-10-27 17:40:51,IP Address,72.199.156.153,100,1510,True,2023-10-27 17:40:52,R_WedtO1j07gwwWbL,,,,,33.0562,-117.2688,anonymous,EN,1,,0,0,,Yes,Yes,8AD70996DA284ECB828016DC41BD81FE,39,47,27,69,11,48,65,77,96,84,26,42,19,98,13,98,60,47,36,47,18,85,7,90,23,30,88,44,15,100,1,97,4,100,1,100,60,26,We should maintain the current rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",39,Man,"Between $20,000 and $49,999","Some college, no degree",Tiger,White,Yes,California,Suburb,Democrat,"Yes, I am registered to vote",Other candidate,No,Strongly disapprove,FL_15|FL_14|FL_10|FL_11|FL_13|FL_12|FL_16,3-FinancialMeltdown|1- Monopolies&CentralizationofPower|2-EconomicInstability,6-ExtremeIncomeInequality|5-Privacy|4-Bias&Discrimination,9-CyberAttacks|7-TerroristWMDAttack|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,14-InformationWarfare|12-AIArmsRace|13-GlobalPowerShift,15-EnergyConsumption,16-Dystopia|17-CivilizationalCollapse|18-Extinction
2023-10-27 17:43:21,2023-10-27 17:48:29,IP Address,99.127.10.208,100,307,True,2023-10-27 17:48:30,R_1EgRqhw9zCwkNkL,,,,,33.0563,-96.7341,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,1B3A104E393B4438A10C271BAEE491B3,54,67,81,92,69,72,50,69,59,63,62,78,34,77,17,82,76,96,60,68,25,98,32,49,46,50,68,70,33,49,19,98,85,80,19,85,60,26,We should take an indefinite pause on AI progress.,The companies developing AI technologies should manage the majority of risks.,28,Woman,"Between $50,000 and $79,999",Graduated from high school (Diploma/GED or equivalent),Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Texas,Suburb,Independent,"Yes, I am registered to vote",Joe Biden,No,Somewhat disapprove,FL_15|FL_11|FL_13|FL_14|FL_10|FL_16|FL_12,3-FinancialMeltdown|2-EconomicInstability|1- Monopolies&CentralizationofPower,4-Bias&Discrimination|5-Privacy|6-ExtremeIncomeInequality,9-CyberAttacks|7-TerroristWMDAttack|8-TerroristAIWeaponsAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|12-AIArmsRace|14-InformationWarfare,15-EnergyConsumption,18-Extinction|16-Dystopia|17-CivilizationalCollapse
2023-10-27 17:43:58,2023-10-27 17:48:42,IP Address,67.175.97.168,100,283,True,2023-10-27 17:48:43,R_2ARtow6qdYR4oCm,,,,,41.8482,-87.6521,anonymous,EN,1,,0,0,,Yes,Yes,0CDB37B39DAA456CAC5E5317B2C8367F,46,64,77,73,74,66,92,90,71,49,77,83,54,81,41,86,62,94,97,58,81,39,42,49,5,77,79,84,48,79,38,100,19,100,9,97,60,26,We should slow down the rate of AI progress.,The companies developing AI technologies should manage the majority of risks.,23,Woman,"Between $50,000 and $79,999",Completed bachelor’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Illinois,City,Democrat,"Yes, I am registered to vote",Joe Biden,No,Somewhat disapprove,FL_14|FL_11|FL_16|FL_12|FL_10|FL_13|FL_15,3-FinancialMeltdown|1- Monopolies&CentralizationofPower|2-EconomicInstability,6-ExtremeIncomeInequality|4-Bias&Discrimination|5-Privacy,7-TerroristWMDAttack|8-TerroristAIWeaponsAttack|9-CyberAttacks,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|14-InformationWarfare|12-AIArmsRace,15-EnergyConsumption,18-Extinction|17-CivilizationalCollapse|16-Dystopia
2023-10-27 17:42:45,2023-10-27 17:50:10,IP Address,71.114.118.144,100,444,True,2023-10-27 17:50:11,R_30wtmJwACanGErN,,,,,40.5248,-80.1643,anonymous,EN,1,,0,0,,Yes,Yes,1E145FF2CCA649228957F6052F792FBF,40,61,95,71,20,61,45,62,35,43,20,37,20,61,30,62,70,72,90,87,55,62,30,73,30,50,85,82,39,73,30,100,20,100,5,100,60,26,We should slow down the rate of AI progress.,The companies developing AI technologies should manage the majority of risks.,47,Woman,"Between $50,000 and $79,999",Completed bachelor’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Pennsylvania,Rural area,Independent,"Yes, I am registered to vote",Donald Trump,No,Strongly disapprove,FL_13|FL_14|FL_15|FL_10|FL_12|FL_11|FL_16,2-EconomicInstability|1- Monopolies&CentralizationofPower|3-FinancialMeltdown,5-Privacy|6-ExtremeIncomeInequality|4-Bias&Discrimination,9-CyberAttacks|8-TerroristAIWeaponsAttack|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,14-InformationWarfare|12-AIArmsRace|13-GlobalPowerShift,15-EnergyConsumption,16-Dystopia|17-CivilizationalCollapse|18-Extinction
2023-10-27 17:42:37,2023-10-27 17:50:27,IP Address,216.138.34.231,100,470,True,2023-10-27 17:50:28,R_2BfAWHPNTXsVV5k,,,,,39.9311,-91.3761,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,0B454216618D4D1884D71951544E9AA5,40,50,30,72,19,50,23,73,68,50,15,57,9,97,10,95,29,73,78,72,19,95,40,97,59,73,40,72,14,62,19,72,9,97,10,98,59,26,We should slow down the rate of AI progress.,National governments should manage the majority of risks.,52,Woman,"Between $50,000 and $79,999",Graduated from high school (Diploma/GED or equivalent),Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Illinois,Suburb,Democrat,"Yes, I am registered to vote",Joe Biden,No,Strongly approve,FL_14|FL_16|FL_11|FL_13|FL_15|FL_10|FL_12,1- Monopolies&CentralizationofPower|2-EconomicInstability|3-FinancialMeltdown,4-Bias&Discrimination|6-ExtremeIncomeInequality|5-Privacy,8-TerroristAIWeaponsAttack|7-TerroristWMDAttack|9-CyberAttacks,11-SafetySystemsFailures|10-KnowledgeDeterioration,12-AIArmsRace|13-GlobalPowerShift|14-InformationWarfare,15-EnergyConsumption,16-Dystopia|17-CivilizationalCollapse|18-Extinction
2023-10-27 17:45:19,2023-10-27 18:04:33,IP Address,66.234.106.200,100,1153,True,2023-10-27 18:04:33,R_C7Sj7sUoGkPJ3Ut,,,,,37.751,-97.822,anonymous,EN,1,,0,25,,Yes,Yes,08118FE4A7504A34B93DEC7B88ED4EB6,79,63,93,74,100,79,90,72,100,63,29,11,19,79,34,67,100,71,9,24,49,26,68,99,88,89,95,72,13,2,3,99,2,100,0,100,60,26,We should take an indefinite pause on AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",47,Man,"$200,000 or more",Completed bachelor’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Georgia,Suburb,Other,"Yes, I am registered to vote",Other candidate,No,Strongly disapprove,FL_14|FL_13|FL_12|FL_10|FL_11|FL_15|FL_16,3-FinancialMeltdown|2-EconomicInstability|1- Monopolies&CentralizationofPower,4-Bias&Discrimination|6-ExtremeIncomeInequality|5-Privacy,8-TerroristAIWeaponsAttack|7-TerroristWMDAttack|9-CyberAttacks,11-SafetySystemsFailures|10-KnowledgeDeterioration,14-InformationWarfare|12-AIArmsRace|13-GlobalPowerShift,15-EnergyConsumption,16-Dystopia|18-Extinction|17-CivilizationalCollapse
